time_step,current_traffic,traffic_delta,is_bursting,is_anomalous,bandwidth_utilization,congestion_penalty,is_throttled,base_latency,total_latency,total_failed_vms,is_system_degraded,total_system_latency,db_load_ratio,is_db_bottleneck,queue_length,queue_delta,avg_wait_time,ema_wait_time,dropped_requests,small_vms,medium_vms,large_vms,pending_count,pending_capacity,cooldown_remaining,total_active_capacity,total_hourly_cost,reward,action
2,217,15,False,False,0.217,0.0,False,20.394710484455143,56.050898308028884,0,False,56.050898308028884,0.151,True,19,17,10.5,6.12,0,2,0,0,1,250,4,200,4,-0.10800000000000001,2
3,219,2,False,False,0.219,0.0,False,20.0,54.994260000000004,0,False,54.994260000000004,0.153,True,38,19,19.666666666666668,15.684000000000001,0,2,0,0,1,250,3,200,4,-0.10800000000000001,1
4,231,12,False,False,0.231,0.0,False,20.0,55.04874,0,False,55.04874,0.161,True,69,31,32.0,31.6788,0,2,1,0,0,0,2,450,9,-0.11800000000000001,1
5,205,-26,False,False,0.205,0.0,False,20.0,54.9307,0,False,54.9307,0.143,True,0,-69,25.6,22.175159999999998,0,2,1,0,0,0,1,450,9,0.4889,0
6,229,24,False,False,0.229,0.0,False,20.81786377059525,57.24789218060717,0,False,57.24789218060717,0.16,True,0,0,25.2,15.522611999999997,0,2,1,0,0,0,0,450,9,0.482,0
7,562,-4,True,False,0.562,0.0,False,20.743050151782565,58.55771540981293,0,False,58.55771540981293,0.393,True,112,112,43.8,44.4658284,0,2,1,0,1,250,4,450,9,-0.11800000000000001,2
8,605,17,True,False,0.605,0.0,False,21.146023040320248,59.840962208864674,0,False,59.840962208864674,0.423,True,267,155,89.6,111.22607987999999,0,2,1,0,1,250,3,450,9,-0.11800000000000001,1
9,572,-13,True,False,0.572,0.0,False,20.44242634233331,57.79143112429994,0,False,57.79143112429994,0.4,True,389,122,153.6,194.55825591599998,0,2,2,0,0,0,2,700,14,-0.128,1
10,585,5,True,False,0.585,0.0,False,20.0256060776051,56.725036409533764,0,False,56.725036409533764,0.409,True,274,-115,208.4,218.39077914119997,0,2,2,0,0,0,1,700,14,-0.0165,0
11,600,6,True,False,0.6,0.0,False,20.0,56.724000000000004,0,False,56.724000000000004,0.42,True,174,-100,243.2,205.07354539883997,0,2,2,0,0,0,0,700,14,-0.018000000000000002,0
12,245,5,False,False,0.245,0.0,False,20.0,55.112300000000005,0,False,55.112300000000005,0.171,True,0,-174,220.8,143.55148177918798,0,2,2,0,0,0,0,700,14,0.48939999999999995,0
13,277,32,False,False,0.277,0.0,False,20.753955923519086,57.293260993501534,0,False,57.293260993501534,0.193,True,0,0,167.4,100.48603724543158,0,2,2,0,0,0,0,700,14,0.472,0
14,269,-8,False,False,0.269,0.0,False,20.42437914434502,56.36708368973156,0,False,56.36708368973156,0.188,True,0,0,89.6,70.34022607180209,0,2,2,0,0,0,0,700,14,0.472,0
15,259,-10,False,False,0.259,0.0,False,20.0,55.17586,0,False,55.17586,0.181,True,0,0,34.8,49.23815825026146,0,2,2,0,0,0,0,700,14,0.472,0
16,256,-3,False,False,0.256,0.0,False,20.0,55.16224,0,False,55.16224,0.179,True,0,0,0.0,34.466710775183024,0,2,2,0,0,0,0,700,14,0.472,0
17,266,10,False,False,0.266,0.0,False,20.0,55.207640000000005,0,False,55.207640000000005,0.186,True,0,0,0.0,24.126697542628115,0,2,2,0,0,0,0,700,14,0.472,0
18,275,9,False,False,0.275,0.0,False,20.89701436822701,57.67043879421292,0,False,57.67043879421292,0.192,True,0,0,0.0,16.88868827983968,0,2,2,0,0,0,0,700,14,0.472,0
